,Time,Municipality,Impact variable,Hazard variable,Impact value,Hazard value,Trend,Observed anomalies,Predicted anomalies,Aggregation,Best_Degree
90942,2013,Vara,hydro_prod,HWI,2018.0,2.852794961584696,Linear,-0.2733914410564472,-3.8474881230676523,10,1
90943,2014,Vara,hydro_prod,HWI,1832.2,3.0598376078702048,Linear,-5.395290693109474,-4.4526243557837155,10,1
90944,2015,Vara,hydro_prod,HWI,1646.4,0.6501639733324287,Linear,-10.998090565371186,2.5902764737806674,10,1
90945,2016,Vara,hydro_prod,HWI,1460.6,-0.3097731857743256,Linear,-17.15285563597593,5.395943646837273,10,1
90946,2017,Vara,hydro_prod,HWI,1274.8,1.967630650992369,Linear,-23.9453779167144,-1.2603641374714387,10,1
90947,2018,Vara,hydro_prod,HWI,1089.0,5.31701549613325,Linear,-31.480200460678564,-11.049816520676853,10,1
90948,2019,Vara,hydro_prod,HWI,1275.0,1.058433764089219,Linear,-15.140274945121208,1.3970013319548173,10,1
90949,2020,Vara,hydro_prod,HWI,1467.0,1.2689378311272224,Linear,3.62822938440273,0.7817481926420262,10,1
90950,2021,Vara,hydro_prod,HWI,1467.0,1.7778143889231142,Linear,10.40074992078156,-0.7055765137736758,10,1
90951,2022,Vara,hydro_prod,HWI,1467.0,2.9018452985908025,Linear,18.12039138500663,-3.990850549513832,10,1
90952,2005,Varberg,hydro_prod,HWI,6444.0,1.7754138832164557,Linear,83.19479172208298,10.104363785804939,10,3
90953,2006,Varberg,hydro_prod,HWI,2884.0,2.4015455571174784,Linear,-15.686142982981648,10.540496000980049,10,3
90954,2007,Varberg,hydro_prod,HWI,445.0,-0.9394735088534256,Linear,-86.61065550100462,-13.577426994079463,10,3
90955,2008,Varberg,hydro_prod,HWI,3156.0,0.4073087413746107,Linear,-2.185755005195566,-5.314529118063021,10,3
90956,2009,Varberg,hydro_prod,HWI,2944.0,-0.8577033081532377,Linear,-5.92774881494652,-13.857831339814217,10,3
90957,2010,Varberg,hydro_prod,HWI,2932.0,-0.2947839672724774,Linear,-3.313938246918985,-12.495716233741838,10,3
90958,2011,Varberg,hydro_prod,HWI,3250.0,1.024836261044734,Linear,10.714410433680252,2.7288041313705307,10,3
90959,2012,Varberg,hydro_prod,HWI,3641.0,1.9044199727828568,Linear,28.273505860384567,10.740986010999247,10,3
90960,2013,Varberg,hydro_prod,HWI,3028.0,2.3916024098966906,Linear,10.452430546842246,10.592231709500627,10,3
90961,2014,Varberg,hydro_prod,HWI,2415.0,2.28762673321384,Linear,-8.676221115154155,11.00676200934079,10,3
90962,2015,Varberg,hydro_prod,HWI,1802.0,0.0364760539635633,Linear,-29.2618398732382,-9.629265889119997,10,3
90963,2016,Varberg,hydro_prod,HWI,2225.0,-0.2800955507641332,Linear,-9.198806682878155,-12.395247245689447,10,3
90964,2017,Varberg,hydro_prod,HWI,2557.0,1.6959135005780748,Linear,8.651595687146035,9.595905242469446,10,3
90965,2018,Varberg,hydro_prod,HWI,2073.0,3.503639339260074,Linear,-8.127153909071248,-11.488476139610814,10,3
90966,2019,Varberg,hydro_prod,HWI,2146.0,1.5054205407238608,Linear,-0.6189310837789976,8.061413728311063,10,3
90967,2020,Varberg,hydro_prod,HWI,2052.0,1.257280741277201,Linear,-0.501880404377497,5.514906345719709,10,3
90968,2021,Varberg,hydro_prod,HWI,2702.0,1.780828424826761,Linear,37.48284683695714,10.135894470936524,10,3
90969,2022,Varberg,hydro_prod,HWI,1777.0,2.8528945736131237,Linear,-4.887897008603548,5.7155932218621714,10,3
90970,2005,Vetlanda,hydro_prod,HWI,11149.0,1.6907727893134707,Linear,-88.2339519736289,-6.90772789292266,10,1
90971,2006,Vetlanda,hydro_prod,HWI,12749.0,2.010834125927469,Linear,-85.78253433787197,-10.108341259020145,10,1
90972,2007,Vetlanda,hydro_prod,HWI,14380.0,-1.0296940877663676,Linear,-82.99977240665109,20.296940877514533,10,1
90973,2008,Vetlanda,hydro_prod,HWI,16011.0,0.5308369274502979,Linear,-79.86108899756931,4.691630725555067,10,1
90974,2009,Vetlanda,hydro_prod,HWI,619031.0,-0.4759488431923436,Linear,731.8239010514443,14.759488431847812,10,1
90975,2010,Vetlanda,hydro_prod,HWI,16645.0,-0.5850028988703103,Linear,-75.9930961828015,15.850028988613001,10,1
90976,2011,Vetlanda,hydro_prod,HWI,18771.0,2.787513844227462,Linear,-70.78440326198134,-17.87513844191696,10,1
90977,2012,Vetlanda,hydro_prod,HWI,14586.5,1.394962464209464,Linear,-75.34633062293788,-3.949624641921865,10,1
90978,2013,Vetlanda,hydro_prod,HWI,10402.0,2.677165831990455,Linear,-80.76600956913235,-16.77165831956154,10,1
90979,2014,Vetlanda,hydro_prod,HWI,32403.0,2.9022925376395925,Linear,-33.86744394134658,-19.022925376023025,10,1
90980,2015,Vetlanda,hydro_prod,HWI,24656.0,0.4164394894898298,Linear,-43.85230319092266,5.83560510514456,10,1
90981,2016,Vetlanda,hydro_prod,HWI,16909.0,0.2133033010997467,Linear,-56.45204623554039,7.866966989018421,10,1
90982,2017,Vetlanda,hydro_prod,HWI,17769.0,2.9146361483256933,Linear,-47.34200999848063,-19.14636148288239,10,1
